epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,343.091,1.16356,1.04022,1.10883,0.72159,0.49838,0.53889,0.32573,1.47866,1.34247,1.31965,0.000115418,0.000115418,0.000115418
68,348.007,1.17342,1.03329,1.10334,0.6539,0.53168,0.53436,0.31897,1.47604,1.35255,1.31254,0.000112121,0.000112121,0.000112121
69,352.821,1.18345,1.03019,1.10981,0.68503,0.50474,0.53266,0.3203,1.4831,1.3545,1.30849,0.000108824,0.000108824,0.000108824
70,357.649,1.16773,1.03127,1.10454,0.73046,0.51573,0.54717,0.32963,1.47682,1.36298,1.30685,0.000105528,0.000105528,0.000105528
71,362.484,1.14652,1.00393,1.09831,0.74972,0.47524,0.53951,0.32478,1.47994,1.34045,1.31669,0.000102231,0.000102231,0.000102231
72,367.355,1.15403,1.00687,1.08932,0.71834,0.49325,0.54419,0.32806,1.47107,1.32147,1.31011,9.89343e-05,9.89343e-05,9.89343e-05
73,372.174,1.13433,0.98577,1.0891,0.78046,0.47674,0.54676,0.32839,1.49865,1.33933,1.32781,9.56376e-05,9.56376e-05,9.56376e-05
74,377.048,1.13779,1.00181,1.08837,0.81546,0.47596,0.54558,0.3297,1.47262,1.34364,1.31156,9.23409e-05,9.23409e-05,9.23409e-05
75,382.048,1.12578,0.97895,1.08095,0.736,0.495,0.5396,0.32315,1.48054,1.332,1.31632,8.90442e-05,8.90442e-05,8.90442e-05
76,386.916,1.13084,0.9873,1.0915,0.78407,0.48612,0.5477,0.33111,1.47991,1.34003,1.31165,8.57475e-05,8.57475e-05,8.57475e-05
77,391.829,1.13204,0.98837,1.08158,0.75936,0.5006,0.55638,0.33296,1.48057,1.33204,1.31635,8.24508e-05,8.24508e-05,8.24508e-05
78,396.693,1.13882,0.99913,1.09224,0.79176,0.46842,0.54494,0.32661,1.4988,1.3354,1.32813,7.91541e-05,7.91541e-05,7.91541e-05
79,401.505,1.10832,0.95461,1.08086,0.77105,0.47352,0.55075,0.33266,1.47881,1.33843,1.30934,7.58574e-05,7.58574e-05,7.58574e-05
80,406.375,1.1162,0.95887,1.06874,0.81433,0.477,0.55983,0.33643,1.46675,1.30706,1.30605,7.25607e-05,7.25607e-05,7.25607e-05
